Mascota,Edad,Tamaño,Sexo,Patron de pelaje,Color de pelaje 1,Color de pelaje 2,Color de pelaje 3,Largo de pelaje,Color de ojos,Largo de hocico,Largo de cola,Largo de orejas,Tipo de orejas
18,Cachorro,Mediano,Macho,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Largo,Largo,Mediano,Caidas
19,Adulto,Mediano,Macho,Liso,Dorado,,,Largo,Marron oscuro,Largo,Largo,Mediano,Caidas
20,Adulto,Grande,Macho,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Cortas,Caidas
21,Adulto,Grande,Hembra,Liso,Marron,,,Corto,Marron oscuro,Largo,Largo,Caidas,Caidas
22,Adulto,Mediano,Hembra,Bicolor,Negro,Blanco,,Largo,Marron oscuro,Largo,Largo,Largas,Caidas
23,Cachorro,Grande,Macho,Liso,Negro,,,Corto,Marron oscuro,Largo,Cortas,Mediano,Caidas
24,Adulto,Chico,Macho,Liso,Negro,,,Corto,Marron oscuro,Corto,Cortada,Mediano,Caidas
25,Adulto,Grande,Hembra,Liso,Negro,,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
26,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Largo,Corto,Mediano,Caidas
27,Adulto,Grande,Macho,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
28,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Mediano,Marron claro,Largo,Largo,Cortas,Caidas
29,Cachorro,Chico,Hembra,Liso,Marron,,,Corto,Marron oscuro,Largo,Corto,Cortas,Caidas
30,Adulto,Grande,Macho,Liso,Negro,,,Corto,Marron oscuro,Largo,Largo,Mediano,Paradas
31,Cachorro,Mediano,Macho,Tricolor,Negro,Blanco,Dorado,Corto,Marron oscuro,Corto,Corto,Mediano,Caidas
32,Cachorro,Chico,Hembra,Bicolor,Negro,,,Corto,Marron claro,Corto,Corto,Largas,Caidas
33,Cachorro,Chico,Hembra,Liso,Dorado,,,Largo,Marron oscuro,Corto,Largo,Mediano,Caidas
34,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Largo,Cortada,Mediano,Caidas
35,Cachorro,Mediano,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
36,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Mediano,Marron claro,Largo,Largo,Largas,Paradas
37,Cachorro,Mediano,Macho,Bicolor,Negro,Blanco,,Corto,Marron claro,Mediano,Largo,Mediano,Caidas
38,Adulto,Chico,Macho,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,Corto,Largo,Largas,Caidas
39,Adulto,Muy grande,Hembra,Tricolor,Blanco,Negro,Marron,Largo,Marron oscuro,Mediano,Largo,Largas,Caidas
40,Adulto,Chico,Macho,Liso,Negro,,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
41,Adulto,Mediano,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Largo,Largo,Cortas,Caidas
42,Adulto,Chico,Macho,Liso,Blanco,,,Mediano,Marron oscuro,Corto,Corto,Mediano,Caidas
43,Adulto,Mediano,Macho,Bicolor,Liso,Negro,,Corto,Marron claro,Largo,Corto,Mediano,Caidas
44,Adulto,Mediano,Hembra,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,Mediano,Corto,Mediano,Caidas
45,Adulto,Chico,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
46,Adulto,Chico,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Corto,Corto,Mediano,Caidas
47,Cachorro,Chico,Macho,Bicolor,Blanco,Negro,,Mediano,Marron oscuro,Corto,Largo,Chico,Caidas
48,Cachorro,Mediano,Macho,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Mediano,Largo,Cortas,Caidas
49,Adulto,Grande,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
50,Adulto,Grande,Hembra,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Corto,Cortada,Mediano,Caidas
60,Adulto,Chico,Hembra,Liso,Blanco,Blanco,,Corto,Marron oscuro,Corto,Corta,Mediano,Paradas
1000,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron claro,Largo,Mediana,Mediano,Caidas
61,Cachorro,Mediano,Hembra,Liso,Marron,,,Corto,Marron oscuro,Largo,Mediana,Mediano,Caidas
1002,Adulto,Grande,Macho,Liso,Negro,,,Corto,Marron oscuro,Mediano,Mediana,Mediano,Caidas
1003,Cachorro,Mediano,Macho,Liso,Dorado,,,Corto,Marron oscuro,Mediano,Mediana,Mediano,Caidas
62,Adulto,Grande,Macho,Bicolor,Marron,,,Mediano,Marron oscuro,Largo,Largo,Larga,Paradas
63,Adulto,Chico,Hembra,Liso,Marron,Marron,,Largo,Marron claro,Corto,Largo,Cortas,Caidas
1007,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron claro,Largo,Mediana,Mediano,Paradas
64,Adulto,Grande,Hembra,Bicolor,Marron,Negro,,Mediano,Marron claro,Mediano,Mediana,Larga,Caidas
1009,Cachorro,Chico,Hembra,Bicolor,Negro,Marron,,Corto,Marron claro,Corto,Mediana,Mediano,Caidas
65,Adulto,Chico,Hembra,Liso,Marron,,,Corto,Marron oscuro,Corto,Mediana,Mediano,Caidas
1010,Cachorro,Chico,Macho,Bicolor,Blanco,Marron,,Mediano,Marron oscuro,Corto,Mediana,Mediano,Paradas
66,Adulto,Grande,Macho,Bicolor,Marron,Negro,,Mediano,Marron oscuro,Mediano,Largo,Mediano,Caidas
67,Cachorro,Chico,Macho,Liso,Marron,,,Mediano,Marron claro,Mediano,Mediana,Cortas,Caidas
1014,Cachorro,Chico,Macho,Liso,Marron,,,Corto,Marron claro,Corto,Corto,Mediano,Caidas
68,Cachorro,Mediano,Hembra,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Mediano,Largo,Mediano,Caidas
1018,Cachorro,Mediano,Hembra,Bicolor,Negro,,,Corto,Marron oscuro,Mediano,Mediana,Mediano,Paradas
69,Adulto,Grande,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
1036,Cachorro,Chico,Macho,Liso,Negro,,,Mediano,Celeste,Corto,Corto,Mediano,Caidas
70,Adulto,Chico,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Corto,Largo,Mediano,Caidas
71,Cachorro,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediana,Mediano,Caidas
72,Cachorro,Mediano,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
1048,Adulto,Grande,Macho,Bicolor,Negro,Dorado,,Mediano,Marron claro,Largo,Mediana,Mediano,Caidas
73,Adulto,Chico,Macho,Liso,Negro,,,Corto,Marron claro,Mediano,Largo,Mediano,Caidas
1053,Adulto,Mediano,Hembra,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
74,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
1066,Adulto,Chico,Macho,Tricolor,Blanco,Marron,Negro,Corto,Marron oscuro,Corto,Mediano,Largas,Caidas
75,Adulto,Grande,Hembra,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,Mediano,Largas,Caidas
76,Adulto,Chico,Hembra,Liso,Negro,,,Mediano,Marron oscuro,Corto,Cortada,Largas,Caidas
1067,Cachorro,Chico,Macho,Bicolor,Negro,Dorado,,Mediano,Marron oscuro,Corto,Corto,Cortas,Caidas
77,Adulto,Chico,Hembra,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Corto,Mediano,Mediano,Paradas
1074,Cachorro,Chico,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
1081,Cachorro,Chico,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Largo,Corto,Largas,Caidas
78,Adulto,Chico,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Corto,Largo,Largas,Caidas
1082,Cachorro,Mediano,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Corto,Mediano,Mediano,Caidas
79,Adulto,Grande,Macho,Bicolor,Gris,Blanco,,Corto,Celeste,Largo,Largo,Mediano,Paradas
1083,Cachorro,Mediano,Macho,Bicolor,Dorado,Negro,,Mediano,Marron oscuro,Corto,Mediano,Cortas,Caidas
3485,Adulto,Mediano,Hembra,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
1095,Cachorro,Chico,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
1100,Cachorro,Chico,Macho,Bicolor,Dorado,Marron,,Corto,Marron oscuro,Corto,Mediano,Mediano,Caidas
3500,Adulto,Mediano,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Largo,Cortas,Caidas
3505,Adulto,Grande,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Largo,Cortas,Caidas
1116,Cachorro,Chico,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
3507,Adulto,Grande,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
1121,Adulto,Chico,Macho,Bicolor,Blanco,Negro,,Largo,Marron oscuro,Corto,Mediano,Largas,Caidas
3512,Adulto,Grande,Hembra,Liso,Negro,,,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
3524,Adulto,Grande,Hembra,Bicolor,Blanco,Negro,,Largo,Marron oscuro,Mediano,Largo,Mediano,Caidas
1122,Adulto,Grande,Hembra,Bicolor,Negro,Dorado,,Corto,Marron oscuro,Largo,Mediano,Largas,Paradas
3528,Adulto,Grande,Hembra,Liso,Negro,,,Corto,Marron oscuro,Largo,Largo,Largas,Paradas
1129,Cachorro,Mediano,Macho,Bicolor,Negro,Dorado,,Largo,Marron oscuro,Mediano,Mediano,Mediano,Paradas
3530,Adulto,Chico,Hembra,Bicolor,Negro,Dorado,,Corto,Marron oscuro,Corto,Mediano,Mediano,Caidas
1136,Cachorro,Chico,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Corto,Mediano,Mediano,Caidas
3592,Adulto,Chico,Hembra,Liso,Gris,,,Largo,Marron oscuro,Mediano,Largo,Largas,Caidas
1144,Adulto,Grande,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Mediano,Cortada,Largas,Caidas
3595,Adulto,Muy Grande,Hembra,Tricolor,Blanco,Marron,Negro,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
1157,Cachorro,Mediano,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Largo,Cortada,Mediano,Caidas
3601,Adulto,Chico,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Cortada,Largas,Caidas
3631,Adulto,Grande,Macho,Liso,Blanco,,,Largo,Marron oscuro,Mediano,Largo,Mediano,Paradas
1166,Adulto,Grande,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Mediano,Largas,Caidas
3701,Adulto,Grande,Hembra,Liso,Blanco,,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
1174,Cachorro,Chico,Macho,Liso,Dorado,,,Corto,Marron claro,Corto,Corto,Cortas,Caidas
3752,Cachorro,Grande,Hembra,Liso,Negro,,,Corto,Marron claro,Mediano,Largo,Largas,Caidas
3780,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Mediano,Largo,Largas,Caidas
1183,Adulto,Chico,Hembra,Bicolor,Blanco,Dorado,,Largo,Marron claro,Corto,Corto,Cortas,Paradas
3788,Adulto,Grande,Macho,Liso,Blanco,,,Largo,Marron claro,Mediano,Largo,Mediano,Paradas
1186,Adulto,Mediano,Hembra,Tricolor,Blanco,,,Corto,Marron oscuro,Mediano,Mediano,Largas,Caidas
3789,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Largo,Largo,Largas,Paradas
1191,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron claro,Mediano,Mediano,Cortas,Caidas
3793,Adulto,Mediano,Macho,Liso,Negro,,,Corto,Marron oscuro,Mediano,Largo,Largas ,Caidas
3809,Adulto,Mediano,Macho,Bicolor,Gris,Negro,,Corto,Marron claro,Mediano,Largo,Mediano,Caidas
1207,Cachorro,Mediano,Macho,Bicolor,Negro,Dorado,,Mediano,Marron oscuro,Mediano,Mediano,Largas,Paradas
1215,Cachorro,Chico,Macho,Tricolor,Blanco,Negro,Marron,Mediano,Marron oscuro,Mediano,Mediano,Largas,Caidas
3848,Adulto,Chico,Hembra,Liso,Blanco,,,Mediano,Marron oscuro,Mediano,Largo,Largas,Paradas
3907,Adulto,Chico,Hembra,Liso,marron,,,Corto,Marron claro,Mediano,Largo,Largas ,Paradas
1217,Adulto,Grande,Hembra,Tricolor,Dorado,Negro,Blanco,Corto,Marron claro,Largo,Mediano,Cortas,Caidas
3910,Cachorro,Mediano,Hembra,Tricolor,Gris,Negro,Marron,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
1219,Adulto,Mediano,Macho,Liso,Negro,,,Mediano,Marron oscuro,Mediano,Mediano,Largas,Caidas
3913,Adulto,Grande,Hembra,Liso,Gris,,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
1223,Cachorro,Chico,Hembra,Bicolor,Marron,Negro,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
3914,Adulto,Chico,Macho,Liso,Dorado,,,Mediano,Marron oscuro,Mediano,Mediano,Mediano,Paradas
1224,Adulto,Grande,Hembra,Bicolor,Dorado,Negro,,Corto,Marron oscuro,Largo,Mediano,Mediano,Caidas
3917,Cachorro,Mediano,Macho,Bicolor,Blanco,Marron,,Mediano,Marron oscuro,Mediano,Mediano,Mediano,Caidas
1227,Adulto,Mediano,Macho,Liso,Blanco,,,Mediano,Marron oscuro,Mediano,Mediano,Mediano,Caidas
3923,Adulto,Mediano,Hembra,Liso,Dorado,,,Mediano,Marron oscuro,Largo,Mediano,Mediano,Caidas
3931,Adulto,Mediano,Hembra,Bicolor,Marron,Blanco,,Mediano,Celeste,Mediano,Largo,Mediano,Paradas
1232,Adulto,Grande,Macho,Bicolor,Marron,Blanco,,Mediano,Marron oscuro,Mediano,Cortada,Mediano,Caidas
3933,Adulto,Chico,Macho,Liso,Negro,,,Largo,Marron oscuro,Mediano,Largo,Mediano,Caidas
3950,Adulto,Grande,Macho,Liso,Marron,,,Largo,Maron oscuro,Largo,Largo,Largas,Caidas
1235,Adulto,Grande,Macho,Tricolor,Blanco,Negro,Marron,Largo,Maron oscuro,Largo,Largo,Mediano,Caidas
3961,Adulto,Grande,Hembra,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
4026,Adulto,Chico,Hembra,Liso,Negro,,,Corto,Marron oscuro,Corto,Largo,Mediano,Caidas
1238,Adulto,Chico,Macho,Tricolor,Blanco,Negro,Marron,Corto,Marron oscuro,Corto,Corto,Mediano,Caidas
4053,Adulto,Grande,Hembra,Liso,Blanco,,,Mediano,Marron oscuro,Mediano,Largo,Largas,Paradas
1279,Adulto,Mediano,Macho,Bicolor,Negro,Dorado,,Mediano,Marron oscuro,Corto,Corto,Largas,Paradas
4073,Adulto,Muy Grande,Macho,Liso,Blanco,,,Largo,Marron oscuro,Mediano,Largo,Largas,Caidas
1329,Adulto,Chico,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
4077,Adulto,Chico,Macho,Bicolor,Negro,Dorado,,Corto,Marron oscuro,Corto,Mediano,Largas,Paradas
1343,Adulto,Mediano,Macho ,Liso,Blanco,,,Mediano,Celeste,Mediano,Mediano,Mediano,Paradas
1360,Adulto,Grande,Macho ,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Mediano,Mediano,Mediano,Caidas
1372,Adulto,Mediano,Hembra,Bicolor,Marron,Negro,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
1373,Adulto,Chico,Macho,Bicolor,Blanco,Dorado,,Corto,Marron claro,Corto,Corto,Mediano,Caidas
4102,Adulto,Muy Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
1377,Adulto,Chico,Macho,Bicolor,Blanco,Dorado,,Largo,Marron oscuro,Corto,Corto,Mediano,Caidas
1381,Cachorro,Chico,Macho,Bicolor,Blanco,Dorado,,Corto,Marron oscuro,Corto,Corto,Largas,Caidas
4107,Adulto,Muy Grande,Macho,Bicolor,Blanco,Gris,,Corto,Marron oscuro,Largo,Largo,Mediano,Caidas
1382,Adulto,Muy Grande,Macho,Bicolor,Marron,Negro,,Largo,Marron oscuro,Mediano,Mediano,Largas,Caidas
4191,Adulto,Chico,Hembra,Liso,Dorado,,,Largo,Marron oscuro,Corto,Largo,Mediano,Caidas
1385,Adulto,Chico,Hembra,Bicolor,Blanco,Negro,,Mediano,Marron oscuro,Corto,Mediano,Mediano,Caidas
4194,Cachorro,Mediano,Hembra,Bicolor,Blanco,Negro,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
1387,Adulto,Grande,Macho,Liso,Dorado,,,Mediano,Marron oscuro,Largo,Mediano,Largas,Paradas
4210,Adulto,Grande,Hembra,Bicolor,Marron ,Blanco,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
4229,Adulto,Mediano,Hembra,Bicolor,Marron,Blanco,,Mediano,Marron oscuro,Mediano,Mediano,Mediano,Caidas
1395,Adulto,Mediano,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Mediano,Corto,Mediano,Caidas
6000,Cachorro,Chico,Macho,Liso,Dorado,,,Mediano,Marron oscuro,Corto,Corto,Mediano,Caidas
4230,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,Mediano,Largas,Caidas
4235,Adulto,Grande,Macho,Liso,Dorado,,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
1399,Adulto,Grande,Macho,Liso,Negro,,,Mediano,Marron oscuro,Mediano,Mediano,Largas,Caidas
6004,Cachorro,Mediano,Macho,Liso,Negro,,,Corto,Marron claro,Mediano,Largo,Mediano,Caidas
1401,Adulto,Mediano,Hembra,Bicolor,Blanco,Dorado,,Corto,Marron oscuro,Mediano,Mediano,Largas,Caidas
6007,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
4240,Adulto,Chico,Macho,Liso,Dorado,,,Largo,Marron oscuro,Mediano,Mediano,Largas,Caidas
1409,Cachorro,Chico,Macho,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Mediano,Mediano,Largas,Paradas
4243,Adulto,Grande,Hembra,Liso,Dorado,,,Corto,Marron claro,Mediano,Largo,Mediano,Caidas
6010,Adulto,Mediano,Hembra,Bicolor,Negro,Blanco,,Mediano,Marron claro,Mediano,Largo,Cortas,Paradas
1431,Adulto,Mediano,Macho,Bicolor,Negro,Blanco,,Mediano,Marron oscuro,Mediano,Mediano,Largas,Caidas
4272,Adulto,Mediano,Hembra,Liso,Negro,,,Mediano,Marron oscuro,Mediano,Largo,Mediano,Paradas
6012,Cachorro,Chico,Macho,Tricolor,Marron,Blanco,Negro,Corto,Marron oscuro,Mediano,Corto,Mediano,Caidas
4274,Adulto,Chico,Macho,Liso,Dorado,,,Largo,Marron oscuro,Mediano,Largo,Mediano,Paradas
1432,Adulto,Grande,Hembra,Liso,Blanco,,,Mediano,Marron claro,Mediano,Mediano,Largas,Caidas
6016,Adulto,Grande,Macho,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Largo,Chico,Caidas
1434,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
4282,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Mediano,Marron claro,Mediano,Mediano,Mediano,Caidas
6017,Cachorro,Chico,Hembra,Tricolor,Negro,Blanco,Marron,Mediano,Marron claro,Corto,Corto,Mediano,Caidas
4299,Adulto,Chico,Hembra,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,Cortada,Mediano,Caidas
1444,Adulto,Chico,Hembra,Liso,Marron,,,Mediano,Marron claro,Corto,Corto,Mediano,Caidas
4303,Adulto,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Paradas
4307,Adulto,Chico,Hembra,Liso,Negro,,,Largo,Marron oscuro,Mediano,Mediano,Largas,Caidas
1452,Adulto,Grande,Macho,Bicolor,Blanco,Negro,,Largo,Marron oscuro,Mediano,Largo,Largas,Caidas
6019,Adulto,Mediano,Macho,Tricolor,Blanco,Negro,Marron,Corto,Marron claro,Mediano,Corto,Mediano,Caidas
4338,Adulto,Mediano,Hembra,Bicolor,Marron,Negro,,Corto,Marron oscuro,Corto,Largo,Mediano,Caidas
6020,Adulto,Chico,Macho,Liso,Blanco,,,Largo,Marron claro,Corto,Mediano,Cortas,Caidas
1460,Adulto,Grande,Macho,Bicolor,Marron,Blanco,,Mediano,Celeste,Largo,Largo,Largas,Paradas
4340,Adulto,Chico,Macho,Bicolor,Negro,Blanco,,Largo,Marron oscuro,Corto,Largo,Largas,Caidas
6022,Adulto,Grande,Hembra,BIcolor,Blanco,Dorado,,Mediano,Marron claro,Largo,Corto,Cortas,Caidas
1468,Adulto,Grande,Macho,Tricolor,Marron,Negro,Blanco,Corto,Marron oscuro,Largo,Mediano,Largas,Paradas
4341,Adulto,Grande,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Mediano,Largo,Mediana,Caidas
6025,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,Mediano,Cortas,Caidas
4642,Cachorro,Chico,Hembra,Bicolor,Blanco,Marron,,Mediano,Celeste,Largo,Largo,Largas,Paradas
1470,Cachorro,Mediano,Hembra,Liso,Blanco,,,Corto,Marron claro,Mediano,Mediano,Mediana,Caidas
4350,Adulto,Chico,Hembra,Bicolor,Negro,Dorado,,Corto,Marron oscuro,Corto,Mediano,Mediano,Caidas
6026,Adulto,Muy Grande,Macho,Bicolor,Blanco,Negro,,Corto,Celeste,Largo,Largo,Cortas,Paradas
4352,Adulto,Grande,Hembra,Liso,Dorado,,,Largo,Marron oscuro,Mediano,Largo,Larga ,Caidas
1476,Cachorro,Chico,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Corto,Corto,Corto,Caidas
6027,Cachorro,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
4353,Adulto,Mediano,Hembra,Bicolor,Negro,Blanco,,Largo,Marron oscuro,Mediano,Mediano,Largas,Caidas
1477,Adulto,Grande,Macho,Tricolor,Marron,Negro,Blanco,Corto,Marron claro,Largo,Mediano,Mediano,Caidas
6028,Adulto,Grande,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
4354,Adulto,Chico,Hembra,Liso,Dorado,,,Mediano,Marron oscuro,Mediano,Mediano,Largas,Caidas
1486,Adulto,Chico,Hembra,Bicolor,Blanco,Negro,,Largo,Marron claro,Mediano,Corto,Largas,Caidas
4385,Adulto,Mediano,Hembra,LIso,Marron,,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
6030,Adulto,Grande,Macho,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Largas,Paradas
1495,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Mediano,Marron oscuro,Largo,Mediano,Mediano,Caidas
4390,Adulto,Chico,Hembra,Liso,Dorado,,,Largo,Marron oscuro,Largo,Largo,Largas,Caidas
6038,Cachorro,Chico,Hembra,Liso,Marron,,,Corto,Marron oscuro,Chico,Mediano,Mediano,Paradas
4391,Adulto,Mediano,Hembra,Bicolor,Blanco,Negro,,Corto,Marron oscuro,Mediano,Largo,Mediano,Caidas
1498,Adulto,Grande,Macho,Bicolor,Blanco,Dorado,,Corto,Marron claro,Largo,Mediano,Largas,Paradas
6040,Adulto,Mediano,Macho,Bicolor,Negro,Blanco,,Largo,Marron oscuro,Chico,Mediano,Mediano,Caidas
4393,Adulto,Grande,Macho,Bicolor,Marron ,Negro,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
4397,Adulto,Chico,Hembra,Tricolor,Marron,Negro,Blanco,Corto,Marron oscuro,Mediano,Mediano,Mediano,Caidas
6041,Adulto,Grande,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Cortas,Paradas
1508,Cachorro,Chico,Macho,Tricolor,Blanco,Negro,Marron,Mediano,Marron oscuro,Corto,Mediano,Largas,Caidas
4400,Adulto,Muy Grande,Hembra,Bicolor,Blanco ,Marron,,Largo,Marron oscuro,Largo,Largo,Cortas,Caidas
6042,Cachorro,Chico,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Corto,Corta,Mediano,Caidas
1509,Adulto,Muy Grande,Macho,Bicolor,Gris,Marron,,Largo,Marron oscuro,Corto,Mediano,Cortas,Paradas
4401,Adulto,Mediano,Hembra,Liso,Marron,,,Corto,Marron oscuro,Largo,Mediano,Cortas,Caidas
6045,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Corto,Largo,Mediano,Paradas
