Mascota,Edad,Tamaño,Sexo,Patron de pelaje,Color de pelaje 1,Color de pelaje 2,Color de pelaje 3,Largo de pelaje,Color de ojos,Largo de hocico,Largo de cola,Largo de orejas,Tipo de orejas
21,Adulto,Grande,Hembra,Liso,,,,Corto,Marron oscuro,Largo,,,Caidas
22,Adulto,Mediano,Hembra,Bicolor,Negro,Blanco,,Largo,Marron oscuro,Largo,Largo,Largas,Caidas
23,Cachorro,Grande,Macho,Liso,Negro,,,Corto,,Largo,Corta,Medianas,Caidas
24,,Chico,Macho,,,,,Corto,Marron oscuro,Corto,Cortada,Medianas,Caidas
25,Adulto,Grande,,Liso,Negro,,,Mediano,Marron oscuro,Largo,,Largas,Paradas
26,Adulto,Grande,,Bicolor,Negro,Blanco,,Corto,,Largo,,Medianas,Caidas
27,Adulto,Grande,Macho,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,Largo,Largo,Medianas,Caidas
28,Adulto,,Macho,Bicolor,Marron,Blanco,,Mediano,Marron claro,Largo,,Cortas,
29,Cachorro,Chico,Hembra,Liso,,,,,Marron oscuro,Largo,Corta,Cortas,
30,Adulto,Grande,Macho,Liso,Negro,,,Corto,,Largo,Largo,Medianas,
31,Cachorro,Mediano,Macho,Tricolor,Negro,Blanco,Dorado,Corto,Marron oscuro,Corto,Corta,Medianas,Caidas
32,Cachorro,,,,Negro,,,Corto,Marron claro,Corto,Corta,Largas,
33,Cachorro,Chico,Hembra,,Dorado,,,Largo,,Corto,,Medianas,Caidas
34,Adulto,Grande,Macho,Bicolor,,Blanco,,,Marron oscuro,,Cortada,Medianas,Caidas
35,Cachorro,Mediano,Macho,,,Marron,,Corto,Marron oscuro,Largo,,Medianas,Caidas
36,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Mediano,,Largo,,,Paradas
37,Cachorro,,Macho,,,,,Corto,Marron claro,Mediano,Largo,Medianas,Caidas
38,Adulto,Chico,,Tricolor,,Marron,Blanco,,Marron oscuro,Corto,Largo,Largas,Caidas
39,Adulto,Muy Grande,Hembra,Tricolor,Blanco,Negro,Marron,Largo,,Mediano,Largo,Largas,Caidas
40,Adulto,Chico,Macho,,Negro,,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
41,Adulto,Mediano,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,,Largo,,Caidas
42,,Chico,Macho,,Blanco,,,Mediano,Marron oscuro,Corto,Corta,Medianas,Caidas
43,Adulto,Mediano,Macho,Bicolor,Marron,Negro,,Corto,Marron claro,Largo,Corta,,Caidas
44,,Mediano,Hembra,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,Mediano,Corta,,Caidas
45,Adulto,Chico,Hembra,,Blanco,,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
46,Adulto,Chico,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Corto,Corta,Medianas,Caidas
47,Cachorro,Chico,Macho,Bicolor,Blanco,Negro,,Mediano,Marron oscuro,Corto,Largo,Cortas,Caidas
48,,Mediano,,Bicolor,Negro,Marron,,Mediano,Marron oscuro,,Largo,Cortas,Caidas
49,Adulto,Grande,Hembra,Liso,Blanco,,,,Marron oscuro,,Largo,Medianas,
50,Adulto,Grande,Hembra,Bicolor,Negro,Blanco,,,,Corto,,,Caidas
60,Adulto,Chico,,,,Blanco,,Corto,Marron oscuro,Corto,Corta,Medianas,Paradas
1000,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron claro,Largo,Mediana,Medianas,Caidas
61,Cachorro,Mediano,,,Marron,,,Corto,Marron oscuro,Largo,Mediana,Medianas,Caidas
1002,Adulto,,Macho,Liso,,,,Corto,,Mediano,Mediana,Medianas,Caidas
1003,,,Macho,Liso,,,,Corto,Marron oscuro,,Mediana,Medianas,Caidas
62,Adulto,Grande,Macho,,,,,Mediano,Marron oscuro,,Largo,Largas,Paradas
63,Adulto,Chico,Hembra,,Marron,Marron,,Largo,Marron claro,Corto,Largo,Cortas,
1007,,Mediano,,Bicolor,Marron,Blanco,,Corto,Marron claro,Largo,,,Paradas
64,Adulto,Grande,Hembra,Bicolor,Marron,Negro,,Mediano,,Mediano,Mediana,Largas,Caidas
1009,Cachorro,Chico,,Bicolor,Negro,Marron,,Corto,,Corto,Mediana,Medianas,Caidas
65,,,Hembra,Liso,Marron,,,Corto,Marron oscuro,Corto,,Medianas,Caidas
1010,Cachorro,Chico,Macho,,,Marron,,Mediano,Marron oscuro,Corto,Mediana,Medianas,Paradas
66,Adulto,Grande,,,Marron,Negro,,Mediano,Marron oscuro,Mediano,Largo,Medianas,
67,Cachorro,Chico,Macho,Liso,Marron,,,,Marron claro,Mediano,,,
1014,Cachorro,Chico,Macho,Liso,Marron,,,Corto,,Corto,,Medianas,Caidas
68,Cachorro,Mediano,,,Negro,Marron,,Mediano,Marron oscuro,Mediano,,Medianas,
1018,Cachorro,Mediano,,Bicolor,Negro,,,,Marron oscuro,Mediano,Mediana,Medianas,Paradas
69,,Grande,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Largo,Medianas,Caidas
1036,Cachorro,Chico,Macho,Liso,,,,Mediano,,Corto,Corta,Medianas,Caidas
70,Adulto,Chico,,,Blanco,Marron,,Corto,Marron oscuro,Corto,Largo,Medianas,
71,Cachorro,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,
72,Cachorro,,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Mediano,Largo,,Caidas
1048,Adulto,Grande,Macho,,Negro,,,Mediano,Marron claro,Largo,Mediana,Medianas,Caidas
73,Adulto,Chico,Macho,Liso,Negro,,,Corto,Marron claro,Mediano,Largo,Medianas,Caidas
1053,,,Hembra,,Marron,Blanco,,Corto,,Mediano,Largo,Medianas,Caidas
74,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Mediano,,Largo,Largo,Largas,Paradas
1066,Adulto,Chico,Macho,Tricolor,Blanco,Marron,Negro,Corto,,Corto,Mediana,Largas,Caidas
75,Adulto,Grande,Hembra,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,,,Caidas
76,Adulto,Chico,Hembra,Liso,Negro,,,Mediano,,,Cortada,Largas,Caidas
1067,Cachorro,Chico,Macho,Bicolor,,Dorado,,Mediano,,,Corta,Cortas,Caidas
77,Adulto,Chico,Hembra,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Corto,Mediana,Medianas,Paradas
1074,Cachorro,Chico,Macho,,Marron,,,Corto,Marron oscuro,Corto,,Cortas,Caidas
1081,Cachorro,Chico,Macho,Bicolor,,Marron,,Corto,Marron oscuro,Largo,Corta,Largas,
78,Adulto,,,Bicolor,Negro,Marron,,Corto,Marron oscuro,Corto,Largo,,Caidas
1082,Cachorro,Mediano,Macho,,Blanco,Marron,,Corto,Marron oscuro,Corto,Mediana,,Caidas
79,,Grande,Macho,Bicolor,Gris,Blanco,,Corto,Celeste,Largo,Largo,Medianas,Paradas
1083,Cachorro,Mediano,Macho,Bicolor,Dorado,,,Mediano,Marron oscuro,Corto,Mediana,Cortas,Caidas
3485,Adulto,Mediano,Hembra,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1095,,Chico,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
1100,,Chico,Macho,Bicolor,Dorado,Marron,,Corto,,,Mediana,Medianas,
3500,Adulto,,Macho,Liso,,,,Corto,Marron oscuro,Mediano,Largo,Cortas,
3505,Adulto,Grande,Macho,Liso,,,,Corto,,Mediano,Largo,Cortas,
1116,Cachorro,Chico,Macho,,Blanco,Marron,,Corto,Marron oscuro,,Mediana,Medianas,Caidas
3507,Adulto,Grande,Hembra,Liso,Dorado,,,Corto,,Largo,,,
1121,Adulto,Chico,Macho,Bicolor,,Negro,,,Marron oscuro,Corto,Mediana,Largas,Caidas
3512,Adulto,,Hembra,Liso,Negro,,,Corto,Marron oscuro,Largo,Largo,Medianas,Caidas
3524,,,Hembra,Bicolor,Blanco,Negro,,,Marron oscuro,Mediano,Largo,Medianas,Caidas
1122,Adulto,Grande,Hembra,,Negro,,,Corto,Marron oscuro,Largo,Mediana,Largas,
3528,Adulto,Grande,Hembra,Liso,Negro,,,Corto,,Largo,Largo,Largas,Paradas
1129,Cachorro,Mediano,Macho,Bicolor,Negro,Dorado,,Largo,Marron oscuro,Mediano,Mediana,Medianas,Paradas
3530,Adulto,Chico,Hembra,Bicolor,Negro,Dorado,,Corto,,Corto,Mediana,Medianas,Caidas
1136,Cachorro,Chico,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Corto,Mediana,Medianas,Caidas
3592,Adulto,Chico,Hembra,Liso,Gris,,,,Marron oscuro,Mediano,Largo,,Caidas
1144,Adulto,Grande,Macho,Bicolor,Marron,Blanco,,,Marron oscuro,Mediano,Cortada,Largas,Caidas
3595,,Muy Grande,Hembra,Tricolor,Blanco,Marron,Negro,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
1157,Cachorro,Mediano,,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Largo,Cortada,Medianas,
3601,Adulto,Chico,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Cortada,Largas,Caidas
3631,Adulto,Grande,Macho,,Blanco,,,Largo,Marron oscuro,Mediano,Largo,Medianas,Paradas
1166,Adulto,Grande,Hembra,Liso,,,,Corto,,Mediano,Mediana,Largas,Caidas
3701,Adulto,Grande,Hembra,Liso,Blanco,,,Mediano,Marron oscuro,Largo,Largo,,Paradas
1174,Cachorro,Chico,Macho,Liso,Dorado,,,Corto,Marron claro,Corto,Corta,Cortas,Caidas
3752,Cachorro,,Hembra,Liso,,,,Corto,,Mediano,Largo,Largas,Caidas
3780,Adulto,Grande,,Bicolor,Negro,Blanco,,Corto,,Mediano,Largo,Largas,Caidas
1183,Adulto,Chico,Hembra,Bicolor,Blanco,,,Largo,Marron claro,Corto,Corta,Cortas,Paradas
3788,,Grande,Macho,Liso,Blanco,,,Largo,Marron claro,,Largo,Medianas,Paradas
1186,Adulto,,Hembra,Tricolor,Blanco,,,Corto,,Mediano,Mediana,,Caidas
3789,Adulto,Grande,Macho,,Negro,Marron,,Corto,Marron oscuro,,Largo,Largas,Paradas
1191,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron claro,Mediano,,Cortas,Caidas
3793,Adulto,Mediano,Macho,Liso,Negro,,,Corto,Marron oscuro,Mediano,Largo,,Caidas
3809,Adulto,,Macho,Bicolor,,Negro,,Corto,Marron claro,,,Medianas,Caidas
1207,Cachorro,Mediano,,Bicolor,,Dorado,,Mediano,Marron oscuro,,,Largas,Paradas
1215,Cachorro,Chico,,Tricolor,Blanco,Negro,,Mediano,Marron oscuro,Mediano,Mediana,Largas,Caidas
3848,Adulto,Chico,Hembra,,Blanco,,,,Marron oscuro,Mediano,Largo,,Paradas
3907,Adulto,Chico,,Liso,Marron,,,Corto,Marron claro,Mediano,Largo,Largas,Paradas
1217,,Grande,Hembra,,Dorado,Negro,Blanco,Corto,Marron claro,Largo,Mediana,,Caidas
3910,,Mediano,Hembra,Tricolor,,Negro,,Corto,Marron oscuro,Mediano,,Medianas,Caidas
1219,Adulto,Mediano,,Liso,Negro,,,Mediano,Marron oscuro,Mediano,,Largas,
3913,Adulto,,Hembra,Liso,Gris,,,,Marron oscuro,,Largo,,Caidas
1223,Cachorro,Chico,Hembra,Bicolor,Marron,Negro,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
3914,Adulto,Chico,Macho,,Dorado,,,Mediano,,,Mediana,Medianas,Paradas
1224,Adulto,Grande,Hembra,Bicolor,Dorado,Negro,,Corto,Marron oscuro,Largo,Mediana,Medianas,Caidas
3917,Cachorro,Mediano,Macho,,Blanco,Marron,,Mediano,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1227,Adulto,Mediano,Macho,Liso,Blanco,,,Mediano,Marron oscuro,,Mediana,Medianas,Caidas
3923,,,,Liso,Dorado,,,Mediano,Marron oscuro,Largo,Mediana,Medianas,Caidas
3931,Adulto,Mediano,,Bicolor,Marron,Blanco,,Mediano,Celeste,Mediano,,Medianas,Paradas
1232,,Grande,Macho,Bicolor,Marron,Blanco,,Mediano,Marron oscuro,Mediano,Cortada,Medianas,Caidas
3933,Adulto,,Macho,Liso,Negro,,,Largo,Marron oscuro,,Largo,,Caidas
3950,Adulto,,,,Marron,,,Largo,Marron oscuro,Largo,Largo,,Caidas
1235,Adulto,Grande,Macho,Tricolor,Blanco,Negro,Marron,Largo,Marron oscuro,Largo,Largo,Medianas,Caidas
3961,Adulto,Grande,Hembra,Bicolor,,Marron,,Mediano,Marron oscuro,,Largo,Largas,Paradas
4026,,Chico,Hembra,,Negro,,,Corto,Marron oscuro,Corto,Largo,Medianas,
1238,Adulto,Chico,Macho,Tricolor,Blanco,Negro,Marron,Corto,Marron oscuro,Corto,Corta,Medianas,Caidas
4053,Adulto,Grande,Hembra,Liso,Blanco,,,Mediano,,Mediano,Largo,Largas,Paradas
1279,,,,Bicolor,Negro,Dorado,,Mediano,Marron oscuro,Corto,Corta,,Paradas
4073,,Muy Grande,Macho,Liso,Blanco,,,Largo,,Mediano,,Largas,Caidas
1329,Adulto,Chico,,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
4077,Adulto,Chico,Macho,Bicolor,Negro,Dorado,,Corto,Marron oscuro,,Mediana,Largas,Paradas
1343,Adulto,Mediano,,Liso,Blanco,,,Mediano,Celeste,Mediano,Mediana,Medianas,Paradas
1360,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1372,Adulto,Mediano,Hembra,Bicolor,Marron,,,Corto,,,Mediana,Medianas,Caidas
1373,,Chico,Macho,Bicolor,Blanco,Dorado,,Corto,Marron claro,,Corta,Medianas,Caidas
4102,Adulto,Muy Grande,Macho,,,Marron,,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
1377,Adulto,Chico,Macho,Bicolor,,Dorado,,Largo,Marron oscuro,Corto,,Medianas,Caidas
1381,Cachorro,Chico,Macho,Bicolor,Blanco,Dorado,,Corto,Marron oscuro,,Corta,Largas,Caidas
4107,Adulto,Muy Grande,Macho,,Blanco,Gris,,Corto,,Largo,Largo,Medianas,Caidas
1382,,Muy Grande,Macho,Bicolor,Marron,,,Largo,Marron oscuro,Mediano,Mediana,Largas,Caidas
4191,Adulto,Chico,Hembra,Liso,Dorado,,,Largo,Marron oscuro,Corto,Largo,Medianas,Caidas
1385,Adulto,Chico,,,Blanco,Negro,,Mediano,Marron oscuro,Corto,Mediana,Medianas,
4194,Cachorro,Mediano,Hembra,Bicolor,Blanco,Negro,,Corto,Marron oscuro,Mediano,Largo,Medianas,Caidas
1387,,Grande,Macho,Liso,,,,Mediano,Marron oscuro,Largo,Mediana,,Paradas
4210,,,Hembra,Bicolor,Marron,Blanco,,Corto,Marron oscuro,,Largo,,Caidas
4229,Adulto,,Hembra,,Marron,Blanco,,Mediano,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1395,Adulto,,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,,Corta,Medianas,
6000,,,,,Dorado,,,Mediano,Marron oscuro,Corto,Corta,Medianas,Caidas
4230,Adulto,Grande,Macho,Bicolor,,Marron,,Corto,,Mediano,Mediana,Largas,Caidas
4235,Adulto,Grande,Macho,Liso,Dorado,,,Corto,Marron oscuro,Mediano,Largo,Medianas,
1399,Adulto,,Macho,Liso,Negro,,,Mediano,Marron oscuro,Mediano,Mediana,,Caidas
6004,,Mediano,Macho,Liso,Negro,,,Corto,Marron claro,Mediano,Largo,Medianas,Caidas
1401,Adulto,Mediano,Hembra,Bicolor,Blanco,Dorado,,,Marron oscuro,Mediano,Mediana,Largas,
6007,Adulto,Grande,Macho,,Negro,,,Corto,Marron oscuro,Mediano,Largo,Medianas,
4240,Adulto,Chico,Macho,Liso,Dorado,,,Largo,Marron oscuro,Mediano,Mediana,Largas,
1409,Cachorro,Chico,,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Mediano,Mediana,Largas,Paradas
4243,Adulto,Grande,Hembra,Liso,Dorado,,,Corto,,Mediano,Largo,,Caidas
6010,,Mediano,,Bicolor,Negro,Blanco,,Mediano,Marron claro,Mediano,Largo,Cortas,Paradas
1431,Adulto,Mediano,Macho,Bicolor,,Blanco,,Mediano,Marron oscuro,Mediano,Mediana,Largas,Caidas
4272,,Mediano,Hembra,Liso,Negro,,,Mediano,Marron oscuro,Mediano,Largo,,Paradas
6012,Cachorro,,Macho,Tricolor,Marron,,Negro,Corto,Marron oscuro,Mediano,,Medianas,Caidas
4274,Adulto,Chico,Macho,,Dorado,,,Largo,Marron oscuro,,Largo,Medianas,Paradas
1432,,Grande,Hembra,Liso,Blanco,,,Mediano,Marron claro,,Mediana,Largas,Caidas
6016,Adulto,Grande,,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Largo,Cortas,Caidas
1434,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
4282,Adulto,Grande,Macho,Bicolor,Negro,Blanco,,Mediano,Marron claro,Mediano,Mediana,Medianas,Caidas
6017,Cachorro,Chico,Hembra,Tricolor,Negro,Blanco,,Mediano,Marron claro,,Corta,,Caidas
4299,,Chico,Hembra,Bicolor,Negro,,,Corto,Marron oscuro,Mediano,,Medianas,Caidas
1444,Adulto,Chico,Hembra,Liso,Marron,,,Mediano,Marron claro,Corto,,,Caidas
4303,Adulto,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Paradas
4307,,Chico,Hembra,Liso,Negro,,,,Marron oscuro,Mediano,Mediana,Largas,
1452,Adulto,Grande,Macho,Bicolor,Blanco,Negro,,Largo,Marron oscuro,Mediano,Largo,Largas,Caidas
6019,Adulto,Mediano,Macho,Tricolor,Blanco,Negro,Marron,Corto,Marron claro,Mediano,Corta,Medianas,Caidas
4338,Adulto,Mediano,Hembra,Bicolor,Marron,Negro,,,Marron oscuro,Corto,Largo,Medianas,Caidas
6020,Adulto,Chico,,Liso,,,,Largo,Marron claro,Corto,Mediana,Cortas,Caidas
1460,Adulto,Grande,Macho,Bicolor,,Blanco,,,Celeste,Largo,,Largas,Paradas
4340,Adulto,Chico,Macho,Bicolor,Negro,Blanco,,Largo,,,,Largas,Caidas
6022,,Grande,Hembra,Bicolor,Blanco,,,Mediano,Marron claro,Largo,Corta,Cortas,Caidas
1468,Adulto,Grande,Macho,Tricolor,Marron,Negro,Blanco,Corto,Marron oscuro,Largo,Mediana,,Paradas
4341,Adulto,Grande,Macho,Bicolor,Blanco,Marron,,,Marron oscuro,Mediano,Largo,Medianas,Caidas
6025,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,Mediana,Cortas,Caidas
4642,Cachorro,Chico,Hembra,Bicolor,,Marron,,Mediano,Celeste,Largo,,Largas,
1470,Cachorro,Mediano,Hembra,Liso,,,,Corto,,Mediano,,Medianas,Caidas
4350,Adulto,,Hembra,Bicolor,Negro,Dorado,,Corto,Marron oscuro,Corto,Mediana,,Caidas
6026,Adulto,Muy Grande,Macho,,Blanco,Negro,,,Celeste,Largo,Largo,,Paradas
4352,,Grande,Hembra,,Dorado,,,,Marron oscuro,,Largo,Largas,Caidas
1476,Cachorro,Chico,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Corto,Corta,Cortas,
6027,Cachorro,Chico,,Liso,Marron,,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
4353,Adulto,Mediano,Hembra,Bicolor,Negro,Blanco,,Largo,,Mediano,Mediana,Largas,Caidas
1477,Adulto,,Macho,Tricolor,Marron,Negro,,Corto,Marron claro,,,Medianas,Caidas
6028,Adulto,Grande,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
4354,Adulto,Chico,Hembra,Liso,Dorado,,,Mediano,Marron oscuro,,,Largas,Caidas
1486,Adulto,,Hembra,Bicolor,Blanco,Negro,,Largo,Marron claro,Mediano,,Largas,Caidas
4385,Adulto,Mediano,Hembra,Liso,,,,,Marron oscuro,Largo,Largo,Largas,Paradas
6030,Adulto,,,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Largas,Paradas
1495,Adulto,Grande,Macho,Bicolor,,,,Mediano,Marron oscuro,,Mediana,Medianas,Caidas
4390,Adulto,Chico,Hembra,Liso,Dorado,,,Largo,Marron oscuro,Largo,,Largas,Caidas
6038,Cachorro,,Hembra,Liso,Marron,,,Corto,,Corto,Mediana,Medianas,Paradas
4391,Adulto,Mediano,Hembra,Bicolor,Blanco,Negro,,Corto,Marron oscuro,Mediano,Largo,Medianas,Caidas
1498,,Grande,Macho,Bicolor,Blanco,Dorado,,Corto,,,,Largas,Paradas
6040,Adulto,Mediano,Macho,Bicolor,,Blanco,,Largo,Marron oscuro,Corto,,Medianas,Caidas
4393,Adulto,Grande,Macho,Bicolor,Marron,Negro,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
4397,Adulto,Chico,Hembra,Tricolor,,Negro,Blanco,,Marron oscuro,,Mediana,Medianas,
6041,Adulto,Grande,,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Cortas,Paradas
1508,Cachorro,Chico,Macho,Tricolor,Blanco,Negro,Marron,Mediano,Marron oscuro,Corto,Mediana,,Caidas
4400,,Muy Grande,Hembra,Bicolor,Blanco,Marron,,Largo,Marron oscuro,Largo,Largo,Cortas,Caidas
6042,Cachorro,Chico,Macho,Bicolor,,Blanco,,Corto,,Corto,Corta,Medianas,Caidas
1509,,,Macho,Bicolor,Gris,,,Largo,Marron oscuro,Corto,Mediana,Cortas,
4401,Adulto,Mediano,Hembra,Liso,Marron,,,Corto,Marron oscuro,,Mediana,,Caidas
6045,Adulto,Mediano,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,,,Medianas,
4404,Adulto,,Hembra,Bicolor,Negro,Marron,,Corto,Marron oscuro,,,Medianas,Caidas
1516,Cachorro,Chico,Macho,Bicolor,,Blanco,,Corto,,,Mediana,Cortas,Caidas
1525,Adulto,Grande,Macho,Bicolor,,Negro,,Mediano,Marron oscuro,Largo,Mediana,Largas,Paradas
4407,Adulto,Chico,Macho,Bicolor,Blanco,Marron,,Mediano,Marron oscuro,Mediano,Mediana,Largas,Caidas
6046,,Mediano,Hembra,Liso,Blanco,,,,,Mediano,Mediana,Cortas,Paradas
4411,Adulto,Mediano,,,Negro,Marron,,Corto,Marron oscuro,Mediano,Mediana,Largas,Caidas
1526,Adulto,Chico,Macho,Tricolor,Negro,Marron,Blanco,Corto,Marron oscuro,Mediano,Corta,Medianas,Caidas
4413,Adulto,Mediano,Hembra,Bicolor,Negro,Blanco,,Corto,Marron oscuro,,,Medianas,Caidas
6047,Cachorro,Mediano,Hembra,Bicolor,Negro,Dorado,,Mediano,Marron oscuro,Largo,Mediana,Cortas,Paradas
4416,Adulto,Chico,Hembra,Bicolor,Negro,Gris,,Mediano,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1529,Adulto,Mediano,Macho,Liso,Dorado,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
6049,Cachorro,Chico,Macho,Bicolor,Blanco,Negro,,Corto,,Corto,Mediana,Cortas,Caidas
4427,,Mediano,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,,Medianas,Caidas
1531,Cachorro,Chico,Hembra,,,,,Corto,Marron oscuro,Corto,,Medianas,Caidas
4434,Cachorro,,Hembra,Bicolor,Blanco,Blanco,,,Marron oscuro,Mediano,Mediana,Medianas,
4436,Adulto,Chico,,,,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Paradas
6051,Adulto,Grande,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Mediano,Largo,Cortas,Paradas
1546,Adulto,Mediano,,,Negro,Blanco,Marron,Mediano,,Mediano,Mediana,Medianas,Caidas
4437,Adulto,Mediano,Hembra,Liso,Marron,,,Corto,,Mediano,Mediana,Medianas,Paradas
6055,Adulto,Grande,Macho,,,,,Corto,,Corto,Corta,Medianas,Caidas
4464,,Mediano,Hembra,Bicolor,Marron,Blanco,,Mediano,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1549,Adulto,Mediano,Macho,Tricolor,Blanco,Negro,Marron,Corto,Marron oscuro,Mediano,Corta,Medianas,Caidas
4465,Adulto,Grande,,Bicolor,Negro,Blanco,,Corto,,Mediano,,Medianas,Caidas
6064,Adulto,Grande,Macho,Tricolor,Negro,Marron,Blanco,,Marron oscuro,Mediano,Largo,,Caidas
4466,Cachorro,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,,Medianas,
1564,Adulto,,Hembra,Bicolor,Gris,Blanco,,Corto,Marron claro,,Mediana,Largas,Caidas
4467,,,Macho,Bicolor,Blanco,,,,Marron oscuro,Mediano,Mediana,Medianas,Caidas
6065,Adulto,Grande,Macho,Liso,Negro,,,Mediano,Marron claro,Mediano,Mediana,Medianas,Paradas
4468,,Grande,,Bicolor,,Negro,,Mediano,Marron oscuro,Mediano,,Medianas,Caidas
4473,Adulto,Grande,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Mediano,,Medianas,Caidas
